uri	original	en	language	translation	source	date
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	it	tecniche di manutenzione predittiva //n//m//f	googleTranslate	2021-10-08 08:29:49.870724
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	no	forutsigbare vedlikeholdsteknikker //n//m//f	googleTranslate	2021-10-08 08:29:52.146310
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	nl	technieken voor voorspellend onderhoud //n//m//f	googleTranslate	2021-10-08 08:29:56.405786
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	is	fyrirsjáanleg viðhaldstækni //n//m//f	googleTranslate	2021-10-08 08:30:00.666700
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	lt	numatomos priežiūros metodai //n//m//f	googleTranslate	2021-10-08 08:30:02.944696
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	el	τεχνικές προγνωστικής συντήρησης //n//m//f	googleTranslate	2021-10-08 08:30:07.225910
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	es	técnicas de mantenimiento predictivo //n//m//f	googleTranslate	2021-10-08 08:30:09.523842
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	sv	förutsägande underhållsteknik //n//m//f	googleTranslate	2021-10-08 08:30:11.817606
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	sl	tehnike napovednega vzdrževanja //n//m//f	googleTranslate	2021-10-08 08:30:17.168951
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	pl	techniki konserwacji predykcyjnej //n//m//f	googleTranslate	2021-10-08 08:30:20.394225
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	ar	تقنيات الصيانة التنبؤية //n//m//f	googleTranslate	2021-10-08 08:30:24.599903
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	lv	paredzamās apkopes metodes //n//m//f	googleTranslate	2021-10-08 08:30:28.848767
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	pt	técnicas de manutenção preditiva //n//m//f	googleTranslate	2021-10-08 08:30:33.217760
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	hu	prediktív karbantartási technikák //n//m//f	googleTranslate	2021-10-08 08:30:36.849907
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	fi	ennakoivat ylläpitotekniikat //n//m//f	googleTranslate	2021-10-08 08:30:42.157247
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	sk	techniky prediktívnej údržby //n//m//f	googleTranslate	2021-10-08 08:30:46.413449
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	et	ennustava hoolduse tehnikad //n//m//f	googleTranslate	2021-10-08 08:30:50.686492
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50	predictive maintenance techniques	en	fr	techniques de maintenance prédictive //n//m//f	googleTranslate	2021-10-08 08:30:53.942825
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	ro	partajare auto //n//m//f	googleTranslate	2021-10-08 08:34:23.602158
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	cs	sdílení auta //n//m//f	googleTranslate	2021-10-08 08:34:26.778031
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	de	Fahrgemeinschaft //n//m//f	googleTranslate	2021-10-08 08:34:28.928088
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	da	bildeling //n//m//f	googleTranslate	2021-10-08 08:34:32.098274
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	hr	dijeljenje automobila //n//m//f	googleTranslate	2021-10-08 08:34:35.266088
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	ga	comhroinnt gluaisteán //n//m//f	googleTranslate	2021-10-08 08:34:38.452121
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	bg	споделяне на автомобил //n//m//f	googleTranslate	2021-10-08 08:34:43.618839
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	mt	qsim tal-karozzi //n//m//f	googleTranslate	2021-10-08 08:34:45.806052
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	it	condividere l'auto //n//m//f	googleTranslate	2021-10-08 08:34:50.977294
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	no	bildeling //n//m//f	googleTranslate	2021-10-08 08:34:55.150318
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	nl	auto delen //n//m//f	googleTranslate	2021-10-08 08:34:57.300867
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	is	bílaskipti //n//m//f	googleTranslate	2021-10-08 08:35:02.608287
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	lt	dalijimasis automobiliu //n//m//f	googleTranslate	2021-10-08 08:35:04.849979
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	el	κοινή χρήση αυτοκινήτου //n//m//f	googleTranslate	2021-10-08 08:35:10.003194
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	es	auto compartido //n//m//f	googleTranslate	2021-10-08 08:35:15.162523
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	sv	samåkning //n//m//f	googleTranslate	2021-10-08 08:35:20.317339
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	sl	souporaba avtomobilov //n//m//f	googleTranslate	2021-10-08 08:35:25.459345
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	pl	udostępnianie samochodów //n//m//f	googleTranslate	2021-10-08 08:35:27.650156
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	ar	مشاركة السيارة //n//m//f	googleTranslate	2021-10-08 08:35:30.807187
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	lv	automašīnu koplietošana //n//m//f	googleTranslate	2021-10-08 08:35:33.962167
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	pt	compartilhamento de carro //n//m//f	googleTranslate	2021-10-08 08:35:38.116292
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	hu	autó Megosztás //n//m//f	googleTranslate	2021-10-08 08:35:43.263281
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	fi	auton jakaminen //n//m//f	googleTranslate	2021-10-08 08:35:48.406301
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	sk	zdieľanie auta //n//m//f	googleTranslate	2021-10-08 08:35:53.554494
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	et	Auto jagamine //n//m//f	googleTranslate	2021-10-08 08:35:56.694701
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	car sharing	en	fr	partage de voiture //n//m//f	googleTranslate	2021-10-08 08:36:01.848062
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	carsharing services	en	hr	usluge dijeljenja automobila //n//m//f	googleTranslate	2021-10-08 08:36:19.990935
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	carsharing services	en	ga	seirbhísí roinnte gluaisteán //n//m//f	googleTranslate	2021-10-08 08:36:24.201990
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	carsharing services	en	mt	Servizzi ta 'tqassim tal-karozzi //n//m//f	googleTranslate	2021-10-08 08:36:31.672966
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	carsharing services	en	no	bildelingstjenester //n//m//f	googleTranslate	2021-10-08 08:36:36.076674
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	carsharing services	en	is	bílaþjónusta //n//m//f	googleTranslate	2021-10-08 08:36:41.586647
http://data.europa.eu/esco/skill/70e41ff3-31bc-43ba-ab52-fcd98bf37037	carsharing services	en	ar	خدمات مشاركة السيارات //n//m//f	googleTranslate	2021-10-08 08:37:12.070970
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	ro	teoria și modelele de evaluare //n//m//f	googleTranslate	2021-10-08 08:37:38.897836
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	cs	teorie a modely hodnocení //n//m//f	googleTranslate	2021-10-08 08:37:42.153199
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	de	Theorie und Modelle der Evaluation //n//m//f	googleTranslate	2021-10-08 08:37:47.411340
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	da	teori og evalueringsmodeller //n//m//f	googleTranslate	2021-10-08 08:37:52.743657
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	hr	teorija i modeli vrednovanja //n//m//f	googleTranslate	2021-10-08 08:37:55.994836
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	ga	teoiric agus samhlacha meastóireachta //n//m//f	googleTranslate	2021-10-08 08:37:59.231997
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	bg	теория и модели на оценка //n//m//f	googleTranslate	2021-10-08 08:38:04.441639
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	mt	teorija u mudelli ta 'evalwazzjoni //n//m//f	googleTranslate	2021-10-08 08:38:06.643763
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	it	teoria e modelli di valutazione //n//m//f	googleTranslate	2021-10-08 08:38:11.881701
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	no	teori og evalueringsmodeller //n//m//f	googleTranslate	2021-10-08 08:38:14.163694
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	nl	theorie en evaluatiemodellen //n//m//f	googleTranslate	2021-10-08 08:38:16.416782
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	is	kenning og matslíkön //n//m//f	googleTranslate	2021-10-08 08:38:18.637110
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	lt	vertinimo teorija ir modeliai //n//m//f	googleTranslate	2021-10-08 08:38:22.826802
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	el	θεωρία και μοντέλα αξιολόγησης //n//m//f	googleTranslate	2021-10-08 08:38:28.018349
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	es	teoría y modelos de evaluación //n//m//f	googleTranslate	2021-10-08 08:38:33.237330
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	sv	teori och utvärderingsmodeller //n//m//f	googleTranslate	2021-10-08 08:38:36.454273
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	sl	teorija in modeli vrednotenja //n//m//f	googleTranslate	2021-10-08 08:38:39.632322
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	pl	teoria i modele ewaluacji //n//m//f	googleTranslate	2021-10-08 08:38:41.866298
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	ar	نظرية ونماذج التقييم //n//m//f	googleTranslate	2021-10-08 08:38:45.088070
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	lv	vērtēšanas teorija un modeļi //n//m//f	googleTranslate	2021-10-08 08:38:50.289632
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	pt	teoria e modelos de avaliação //n//m//f	googleTranslate	2021-10-08 08:38:52.494865
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	hu	értékelés elmélete és modelljei //n//m//f	googleTranslate	2021-10-08 08:38:55.724216
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	fi	arviointiteoria ja mallit //n//m//f	googleTranslate	2021-10-08 08:39:00.934908
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	sk	teória a modely hodnotenia //n//m//f	googleTranslate	2021-10-08 08:39:04.140161
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	et	hindamise teooria ja mudelid //n//m//f	googleTranslate	2021-10-08 08:39:06.328299
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	theory and models of evaluation 	en	fr	théorie et modèles d'évaluation //n//m//f	googleTranslate	2021-10-08 08:39:08.504829
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	evaluation approaches	en	ro	abordări de evaluare //n//m//f	googleTranslate	2021-10-08 08:39:13.718262
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	evaluation approaches	en	cs	přístupy k hodnocení //n//m//f	googleTranslate	2021-10-08 08:39:18.923318
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	evaluation approaches	en	de	Evaluationsansätze //n//m//f	googleTranslate	2021-10-08 08:39:24.102163
